Arrondissement;Adresse;Type de réserve;CP;VILLE;longitude;latitude;result_score;result_score_next;result_label;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
8e;6 rue Christophe Colomb;LS 100-60;75008;Paris;2.299864;48.869943;0.9650945454545453;;6 Rue Christophe Colomb 75008 Paris;housenumber;75108_2031_00006;6;6 Rue Christophe Colomb;Rue Christophe Colomb;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;5 rue Magellan;LS 100-60;75008;Paris;2.299965;48.870076;0.9645890909090908;;5 Rue Magellan 75008 Paris;housenumber;75108_5903_00005;5;5 Rue Magellan;Rue Magellan;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;6 rue Clément Marot;LS 100-60;75008;Paris;2.304403;48.86698;0.967170909090909;;6 Rue Clément Marot 75008 Paris;housenumber;75108_2104_00006;6;6 Rue Clément Marot;Rue Clément Marot;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;1-3 rue de Cerisoles;LS 100-100;75008;Paris;2.302609;48.868714;0.9025117008797653;;3 Rue de Cerisoles 75008 Paris;housenumber;75108_1651_00003;3;3 Rue de Cerisoles;Rue de Cerisoles;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;26 rue Clément Marot;LS 100-100;75008;Paris;2.302151;48.868523;0.967170909090909;;26 Rue Clément Marot 75008 Paris;housenumber;75108_2104_00026;26;26 Rue Clément Marot;Rue Clément Marot;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;25 rue de Constantinople;LS 100-100;75008;Paris;2.319187;48.880291;0.9688072727272726;;25 Rue de Constantinople 75008 Paris;housenumber;75108_2289_00025;25;25 Rue de Constantinople;Rue de Constantinople;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;78 rue du Rocher;LS 100-100;75008;Paris;2.318005;48.879854;0.9725054545454545;;78 Rue du Rocher 75008 Paris;housenumber;75108_8291_00078;78;78 Rue du Rocher;Rue du Rocher;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;23-25 rue de Courcelles;LS 100-60;75008;Paris;2.309745;48.87435;0.8914715508021389;0.6178739669421487;25 Rue de Courcelles 75008 Paris;housenumber;75108_2387_00025;25;25 Rue de Courcelles;Rue de Courcelles;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;3 rue d'Edimbourg;LS 100-60;75008;Paris;2.321474;48.879397;0.9678718181818181;;3 Rue d'Edimbourg 75008 Paris;housenumber;75108_3118_00003;3;3 Rue d'Edimbourg;Rue d'Edimbourg;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;38 rue Jean Mermoz;LS 100-60;75008;Paris;2.312477;48.871978;0.9683636363636362;;38 Rue Jean Mermoz 75008 Paris;housenumber;75108_4921_00038;38;38 Rue Jean Mermoz;Rue Jean Mermoz;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
8e;95 rue du Faubourg Saint Honoré;LS 100-60;75008;Paris;2.312633;48.872079;0.9762072727272727;;95 Rue du Faubourg Saint-Honoré 75008 Paris;housenumber;75108_3518_00095;95;95 Rue du Faubourg Saint-Honoré;Rue du Faubourg Saint-Honoré;75008;Paris;75, Paris, Île-de-France;75108;;;Paris 8e Arrondissement;ok
